Familia;Proveedor;Codigo;Descripcion;Costo nuevo SIN IVA;Costo viejo SIN IVA;Costo viejo con IVA;Precio;Coef viejo
TELAS;ALHAMBRA;AL09-152;TELA ART 467 BORDADO VALENTINA XL HILO 3.00;;9497;11491,37;22400;2,35863957
TELAS;ALHAMBRA;AL09-153;TELA ART 468 BORDADO FRONDA XL VOILE 3.00;;8194;9914,74;19340;2,360263608
TELAS;ALHAMBRA;AL09-154;TELA ART 469 BORDADO AIMEE HILO 3.00;;9497;11491,37;22400;2,35863957
TELAS;ALHAMBRA;AL09-155;TELA ART 471 BORDADO AUGUSTA XL HILO 2.80;;9497;11491,37;22400;2,35863957
TELAS;ALHAMBRA;AL09-156;TELA ART 472 BORDADO PERLA XL VOILE 3.00;;8194;9914,74;19340;2,360263608
TELAS;ALHAMBRA;AL09-157;TELA ART 473 BORDADO PERLA HILO 2.80;;9497;11491,37;22400;2,35863957
TELAS;ALHAMBRA;AL09-158;TELA ART 475 BORDADO ALLEGRA HILO 3.00;;9497;11491,37;22400;2,35863957
TELAS;ALHAMBRA;AL09-159;TELA ART 477 BORDADO DANNA 478 AINOA HILO 3.00;;9497;11491,37;22400;2,35863957
TELAS;ALHAMBRA;AL09-160;TELA ART 479 BORDADO AINOA VOILE 3.00;;8194;9914,74;19340;2,360263608
TELAS;ALHAMBRA;AL09-161;TELA ART 481 BORDADO SINFIN VOILE 3.00;;8194;9914,74;19340;2,360263608
TELAS;ALHAMBRA;AL09-162;TELA ART 483 BORDADO WINSTON HILO  3.00;;9497;11491,37;22400;2,35863957
TELAS;ALHAMBRA;AL09-163;TELA ART 790 TERCIOPELO VETEADO 1.50;;31696;38352,16;74760;2,358657244
TELAS;ALHAMBRA;AL09-164;TELA ART 3290 IRUN  2.80;;73939;89466,19;174400;2,358701091
TELAS;ALHAMBRA;AL09-165;TELA ART 3511 ARPEGGIO 1.40;;49042;59340,82;115700;2,359202316
TELAS;ALHAMBRA;AL09-166;TELA ART 3590 GRECO 2.80;;68493;82876,53;161600;2,359365191
TELAS;ALHAMBRA;AL09-167;TELA ART 3622 PINOT 1.40;;34408;41633,68;81200;2,359916299
TELAS;ALHAMBRA;AL09-168;TELA ART 3750 ARGOT  2.80;;51065;61788,65;120460;2,358954274
TELAS;ALHAMBRA;AL09-169;TELA ART 128  SPAZIO LINO  1.45;;13903;16822,63;32820;2,360641588
TELAS;ALHAMBRA;AL09-170;TELA ART 435 MILAN  1.40;;11601;14037,21;27360;2,358417378
TELAS;ALHAMBRA;AL09-171;TELA ART 440  LISBOA LINO 1.40;;17701;21418,21;41760;2,359188746
TELAS;ALHAMBRA;AL09-172;TELA ART 1322  RAMBLA LINO  1.40;;14240;17230,4;33600;2,359550562
TELAS;ALHAMBRA;AL09-173;TELA ART 1520 CHISPA LINO 1,45;;14419;17446,99;34100;2,364935155
TELAS;ALHAMBRA;AL09-174;TELA ART 1960  NATIVO LINO 2.80;;10658;12896,18;25160;2,360668043
TELAS;ALHAMBRA;AL09-175;TELA ART 2100 LINO VIENA 1.42;;0;0; $ -   ;#¡VALOR!
TELAS;ALHAMBRA;AL09-176;TELA ART 3086 MAIDER 1.40;;19829;23993,09;46790;2,359675223
TELAS;ALHAMBRA;AL09-177;TELA ART 3158 PIVON LISO STONE 1.40;;17113;20706,73;40360;2,358440951
